ODP846 Alkenone SST 
Depth            Age        SST 
74.13       1958.853       23.8
74.23       1961.440         24
74.33       1964.027       24.5
74.43       1966.611       23.8
74.53       1969.194       24.2
74.63       1971.779       24.7
74.73       1974.366       25.2
74.83       1976.266       25.5
74.93       1977.817       24.7
75.03       1979.367       24.9
75.13       1980.918         25
75.23       1982.468       25.1
75.33       1984.019       24.6
75.43       1985.569       25.2
75.53       1987.119       25.2
75.63       1988.670       25.2
75.73       1990.220       25.4
75.83       1993.957       25.4
75.92       1997.319         25
75.93       1997.693       25.2
76.02       2001.055       24.6
76.03       2001.429       25.2
76.12       2004.792       24.5
76.126      2005.016       24.4
76.2        2007.781       24.4
76.22       2008.528       24.4
76.25       2009.649       24.2
76.31       2011.890       24.3
76.32       2012.264         24
76.365      2013.945         24
76.42       2016.000       24.4
76.423      2016.112       24.6
76.517      2019.624       24.4
76.623      2023.585       24.3
76.737      2027.844       24.3
76.83       2031.319       24.2
76.93       2035.055       24.1
77.04       2039.165       23.9
77.15       2043.275       23.9
77.25       2047.011       23.7
77.33       2050.000       23.5
77.43       2051.845       23.8
77.53       2053.690       23.5
77.63       2055.535       22.2
77.73       2057.380       21.9
77.83       2059.225       21.7
77.95       2061.439       21.7
78.04       2063.100       21.1
78.13       2064.760       21.3
78.24       2066.790         21
78.34       2068.635       21.2
78.43       2070.295         22
78.53       2072.140       21.5
78.61       2073.616       21.6
78.697      2075.221       21.7
78.73       2075.830       21.2
78.78       2076.753       21.7
78.83       2077.675       21.5
78.87       2078.413       21.1
78.93       2079.520       21.8
78.97       2080.258       21.4
79.03       2081.365       21.1
79.095      2082.565       21.8
79.13       2083.210       21.6
79.227      2085.000       21.4
79.33       2088.296       21.5
79.43       2091.496       22.1
79.5        2093.736         22
79.55       2095.336       22.9
79.61       2097.256       22.6
79.67       2099.176       22.8
79.716      2100.648       22.2
79.78       2102.696         22
79.837      2104.520       22.6
79.92       2107.176       22.9
80.01       2110.056       23.2
80.11       2113.256       23.3
80.22       2116.775       22.9
80.33       2120.295       22.7
80.43       2123.495         23
80.53       2126.695       23.6
80.63       2129.895       24.3
80.73       2133.095       24.1
80.83       2136.295       24.4
80.93       2138.852       23.9
81.03       2141.409       23.2
81.14       2144.222       22.6
81.23       2146.524       22.8
81.33       2149.081         22
81.43       2151.638       22.5
81.53       2154.195       21.7
81.63       2156.752       22.4
81.73       2159.309       22.5
81.83       2161.867       21.2
81.93       2164.424       21.8
82.03       2166.981       22.4
82.13       2169.538       22.7
82.225      2171.967         23
82.32       2174.397         23
82.42       2176.954       23.5
82.52       2179.511       24.1
82.62       2182.068       24.3
82.73       2184.881       24.9
82.83       2187.438       24.7
83.04       2192.808       24.7
83.13       2195.110       24.9
83.23       2197.667       24.8
83.33       2200.224       25.1
83.43       2202.781       24.8
83.53       2205.338       24.6
83.63       2207.895       24.7
83.73       2210.453       24.6
83.83       2213.010       24.9
83.93       2215.567       25.1
84.04       2218.380         25
84.13       2219.635       24.7
84.23       2221.029       24.6
84.33       2222.423       24.3
84.43       2223.817       25.1
84.53       2225.212         25
84.63       2226.606       25.1
84.73       2228.000       24.9
84.83       2231.039       24.7
84.93       2234.079       24.5
85.03       2237.118       24.5
85.13       2240.157       24.2
85.23       2243.504         24
85.33       2246.850       23.8
85.43       2250.197       23.8
85.53       2253.543       23.9
85.631      2256.054       24.5
85.74       2258.765       24.1
85.83       2261.002       24.8
85.93       2263.489       25.3
86.03       2265.975       25.2
86.13       2268.462       25.1
86.22       2270.700         25
86.33       2273.435       24.3
86.43       2275.921       23.8
86.53       2278.408       23.9
86.63       2280.894       24.2
86.74       2283.630       23.6
86.83       2285.868       23.3
86.93       2288.354       23.8
87.03       2290.841       24.1
87.13       2293.327       24.9
87.23       2295.814       24.8
87.33       2299.120       24.7
87.43       2302.427       24.9
87.53       2305.733       24.8
87.63       2309.040       24.7
87.68       2310.693       24.9
87.74       2312.677       24.7
87.78       2314.000       24.8
87.83       2314.892       24.5
87.88       2315.784       24.6
87.93       2316.677       24.1
87.98       2317.569       24.4
88.08       2319.353       24.3
88.18       2321.138       24.3
88.28       2322.922       24.4
88.37       2324.528       24.7
88.48       2326.491       24.4
88.58       2328.276       24.4
88.595      2328.544       23.8
88.68       2330.060         24
88.735      2331.042       23.6
88.78       2331.845         24
88.875      2333.540       23.7
88.88       2333.629       23.5
88.98       2335.414         24
89          2335.771         24
89.12       2337.912       24.4
89.237      2340.000         25
89.35       2343.852       24.5
89.45       2347.261       24.5
89.56       2351.011       24.5
89.65       2354.078       24.1
89.75       2357.487       24.2
89.85       2360.074       24.1
89.94       2362.400       24.5
90.04       2364.983       24.5
90.08       2366.016       24.6
90.13       2367.105       24.6
90.225      2369.070       24.4
90.32       2371.036       24.7
90.42       2373.104       24.4
90.51       2374.966       24.7
90.62       2377.242       24.8
90.72       2379.311       24.9
90.82       2381.379       25.1
90.93       2383.655       24.9
91.03       2385.724         25
91.131      2387.813         25
91.24       2390.067       24.6
91.33       2391.928       24.5
91.43       2393.996       24.2
91.53       2396.064       24.3
91.63       2398.132       24.3
91.73       2400.200       24.4
91.83       2402.267       24.6
91.93       2404.335       24.8
92.03       2406.403       24.4
92.13       2408.722         25
92.23       2411.304       25.2
92.33       2413.630       25.1
92.43       2415.698       25.1
92.53       2417.766       25.4
92.63       2419.834       25.1
